,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,60.8,67,75,2.3,ZA,1613429081
1,maceio,-9.6658,-35.7353,78.8,89,40,6.91,BR,1613429389
2,lesosibirsk,58.2358,92.4828,0.75,92,100,8.66,RU,1613429390
3,khonsa,27.0167,95.5667,54.99,65,55,2.93,IN,1613429390
4,tomatlan,19.9333,-105.25,75.65,48,0,9.37,MX,1613429390
5,jamestown,42.097,-79.2353,24.01,86,90,8.05,US,1613429058
6,les escoumins,48.1111,-69.0236,23.0,73,100,8.05,CA,1613429390
7,okhotsk,59.3833,143.3,-3.05,81,38,5.75,RU,1613429392
8,mataura,-46.1927,168.8643,54.0,67,83,4.0,NZ,1613429061
9,zyryanka,65.75,150.85,-23.67,82,68,4.03,RU,1613429069
10,ilulissat,69.2167,-51.1,3.2,55,75,9.22,GL,1613429063
11,albany,42.6001,-73.9662,26.01,72,100,1.7,US,1613428831
12,busselton,-33.65,115.3333,66.0,94,13,4.0,AU,1613429068
13,tazovskiy,67.4667,78.7,-4.05,91,100,17.87,RU,1613429392
14,ushuaia,-54.8,-68.3,59.0,51,75,18.41,AR,1613429040
15,kapaa,22.0752,-159.319,77.0,78,90,9.22,US,1613429056
16,namibe,-15.1961,12.1522,73.09,79,22,7.49,AO,1613429094
17,saskylakh,71.9167,114.0833,-19.12,86,100,8.59,RU,1613429105
18,saint-augustin,51.226,-58.6502,7.2,91,37,8.77,CA,1613429139
19,turayf,31.6725,38.6637,51.8,66,0,5.75,SA,1613429393
20,salalah,17.0151,54.0924,69.8,60,0,2.3,OM,1613429393
21,sao filipe,14.8961,-24.4956,71.85,74,60,10.47,CV,1613428762
22,mahebourg,-20.4081,57.7,78.8,89,75,4.61,MU,1613429059
23,gallup,35.5281,-108.7426,37.4,52,90,13.8,US,1613429393
24,atuona,-9.8,-139.0333,78.89,78,38,13.24,PF,1613429078
25,hamilton,39.1834,-84.5333,21.2,86,90,10.36,US,1613428979
26,pevek,69.7008,170.3133,-18.24,86,0,1.5,RU,1613429086
27,pacific grove,36.6177,-121.9166,57.99,94,90,10.36,US,1613429106
28,castro,-24.7911,-50.0119,64.76,82,8,3.4,BR,1613429069
29,wladyslawowo,54.7909,18.4009,25.0,93,100,1.14,PL,1613429395
30,taltal,-25.4,-70.4833,67.32,71,21,4.65,CL,1613429396
31,puerto ayora,-0.7393,-90.3518,86.0,66,20,10.36,EC,1613429073
32,biak,-0.9131,122.8766,77.92,75,100,2.33,ID,1613429396
33,hobart,-42.8794,147.3294,64.99,72,20,6.91,AU,1613428821
34,novyy starodub,48.5158,33.1733,17.6,86,90,8.95,UA,1613429396
35,lalibela,12.0333,39.0333,53.69,45,36,2.42,ET,1613429101
36,kirkuk,35.4681,44.3922,61.77,37,0,10.96,IQ,1613429397
37,pasni,25.2631,63.471,70.48,61,0,8.61,PK,1613429397
38,hilo,19.7297,-155.09,78.8,73,90,10.36,US,1613429020
39,limbang,4.75,115.0,75.2,94,75,2.3,MY,1613429397
